Code,Formula,Period,Entity,Option
VPJ41189,YZSI3123+ROARW923+VPJ22012,PQ1,,
VPJ41099,VPJ41189*VTJ41010,PQ1,,
VPJ41098,VPJ41099+VPJ41018,PQ1,,
VPJ41102,VPJ41189*VTJ41011,PQ1,,
VPJ41019,VAJ41019,PQ1,,
VPJ41101,VPJ41102+VPJ41019,PQ1,,
VPJ41020,VPJ41020,PQ1,,
VPJ41021,VPJ41021,PQ1,,
VPJ41022,VPJ41022,PQ1,,
VPJ41104,VPJ41020+VPJ41021+VPJ41022,PQ1,,
VPJ41183,VPJ41098+VPJ41101+VPJ41104,PQ1,,
VPJ41023,VAJ41023,PQ1,,
VPJ41106,"IF(VPJ41095<0,-VPJ41095,0)",PQ1,,
VPJ41107,VAJ41023,PQ1,,
VPJ41024,VPJ41024,PQ1,,
VPJ41109,"IF(VPJ41106>0 && VPJ41024<0, -VPJ41024, 0)",PQ1,,
VPJ41110,VPJ41023+VPJ41106+VPJ41107+VPJ41024+VPJ41109,PQ1,,
VPJ41025,VAJ41025,PQ1,,
VPJ41111,"IF(VTJ41002 <0,-VTJ41002, 0)",PQ1,,
VPJ41112,VAJ41025,PQ1,,
VPJ41026,VPJ41026,PQ1,,
VPJ41113,"IF(VPJ41111>0 && VPJ41026<0, -VPJ41026, 0)",PQ1,,
VPJ41114,VPJ41025+VPJ41111+VPJ41112+VPJ41026+VPJ41113,PQ1,,
VPJ41027,VPJ41027,PQ1,,
VPJ41028,VPJ41028,PQ1,,
VPJ41029,VPJ41029,PQ1,,
VPJ41115,VPJ41027+VPJ41028+VPJ41029,PQ1,,
VPJ41105,VPJ41110+VPJ41114+VPJ41115,PQ1,,
VPJ41030,VAJ41030,PQ1,,
VPJ41031,VPJ41031,PQ1,,
VPJ41117,VPJ41030+VPJ41031,PQ1,,
VPJ41032,VAJ41032,PQ1,,
VPJ41033,VPJ41033,PQ1,,
VPJ41118,VPJ41032+VPJ41033,PQ1,,
VPJ41034,VPJ41034,PQ1,,
VPJ41035,VPJ41035,PQ1,,
VPJ41036,VPJ41036,PQ1,,
VPJ41119,VPJ41034+VPJ41035+VPJ41036,PQ1,,
VPJ41116,VPJ41117+VPJ41118+VPJ41119,PQ1,,
VPJ41037,VAJ41037,PQ1,,
VPJ41038,VPJ41038,PQ1,,
VPJ41121,VPJ41037+VPJ41038,PQ1,,
VPJ41039,VAJ41039,PQ1,,
VPJ41040,VPJ41040,PQ1,,
VPJ41122,VPJ41039+VPJ41040,PQ1,,
VPJ41041,VPJ41041,PQ1,,
VPJ41042,VPJ41042,PQ1,,
VPJ41043,VPJ41043,PQ1,,
VPJ41123,VPJ41041+VPJ41042+VPJ41043,PQ1,,
VPJ41120,VPJ41121+VPJ41122+VPJ41123,PQ1,,
VPJ41125,VPJ41110+VPJ41117+VPJ41121,PQ1,,
VPJ41126,VPJ41114+VPJ41118+VPJ41122,PQ1,,
VPJ41127,VPJ41027+VPJ41034+VPJ41041,PQ1,,
VPJ41128,VPJ41028+VPJ41035+VPJ41042,PQ1,,
VPJ41129,VPJ41029+VPJ41036+VPJ41043,PQ1,,
VPJ41124,VPJ41125+VPJ41126+VPJ41127+VPJ41128+VPJ41129,PQ1,,
VPJ41044,VAJ41044,PQ1,,
VPJ41045,VPJ41045,PQ1,,
VPJ41131,VPJ41044+VPJ41045,PQ1,,
VPJ41046,VAJ41046,PQ1,,
VPJ41047,VPJ41047,PQ1,,
VPJ41132,VPJ41046+VPJ41047,PQ1,,
VPJ41048,VPJ41048,PQ1,,
VPJ41049,VPJ41049,PQ1,,
VPJ41050,VPJ41050,PQ1,,
VPJ41133,VPJ41048+VPJ41049+VPJ41050,PQ1,,
VPJ41130,VPJ41131+VPJ41132+VPJ41133,PQ1,,
VPJ41051,VAJ41051,PQ1,,
VPJ41052,VPJ41052,PQ1,,
VPJ41135,VPJ41051+VPJ41052,PQ1,,
VPJ41053,VAJ41053,PQ1,,
VPJ41054,VPJ41054,PQ1,,
VPJ41136,VPJ41053+VPJ41054,PQ1,,
VPJ41055,VPJ41055,PQ1,,
VPJ41056,VPJ41056,PQ1,,
VPJ41057,VPJ41057,PQ1,,
VPJ41137,VPJ41055+VPJ41056+VPJ41057,PQ1,,
VPJ41134,VPJ41135+VPJ41136+VPJ41137,PQ1,,
VPJ41058,VAJ41058,PQ1,,
VPJ41059,VPJ41059,PQ1,,
VPJ41139,VPJ41058+VPJ41059,PQ1,,
VPJ41060,VAJ41060,PQ1,,
VPJ41061,VPJ41061,PQ1,,
VPJ41140,VPJ41060+VPJ41061,PQ1,,
VPJ41062,VPJ41062,PQ1,,
VPJ41063,VPJ41063,PQ1,,
VPJ41064,VPJ41064,PQ1,,
VPJ41141,VPJ41062+VPJ41063+VPJ41064,PQ1,,
VPJ41138,VPJ41139+VPJ41140+VPJ41141,PQ1,,
VPJ41143,VPJ41131+VPJ41135+VPJ41139,PQ1,,
VPJ41144,VPJ41132+VPJ41136+VPJ41140,PQ1,,
VPJ41145,VPJ41048+VPJ41055+VPJ41062,PQ1,,
VPJ41146,VPJ41049+VPJ41056+VPJ41063,PQ1,,
VPJ41147,VPJ41050+VPJ41057+VPJ41064,PQ1,,
VPJ41142,VPJ41143+VPJ41144+VPJ41145+VPJ41146+VPJ41147,PQ1,,
VPJ41065,VPJ41065,PQ1,,
VPJ41066,VPJ41066,PQ1,,
VPJ41184,VPJ41065+VPJ41066,PQ1,,
VPJ41067,VPJ41067,PQ1,,
VPJ41068,VPJ41068,PQ1,,
VPJ41185,VPJ41067+VPJ41068,PQ1,,
VPJ41069,VPJ41069,PQ1,,
VPJ41070,VPJ41070,PQ1,,
VPJ41186,VPJ41069+VPJ41070,PQ1,,
VPJ73002,VPJ73002,PQ1,,
VPJ73003,VPJ73003,PQ1,,
VPJ73001,VPJ73002+VPJ73003,PQ1,,
VPJ41156,VPJ41065+VPJ41067+VPJ41069+VPJ73002,PQ1,,
VPJ41157,VPJ41066+VPJ41068+VPJ41070+VPJ73003,PQ1,,
VPJ41155,VPJ41156+VPJ41157,PQ1,,
VPJ41149,VPJ41098+VPJ41106+VPJ41107+VPJ41024+VPJ41109-VPJ41125-VPJ41143+VPJ41031+VPJ41038+VPJ41045+VPJ41052+VPJ41059,PQ1,,
VPJ41150,VPJ41101-VPJ41126-VPJ41144+VPJ41111+VPJ41112+VPJ41026+VPJ41113+VPJ41033+VPJ41040+VPJ41047+VPJ41054+VPJ41061,PQ1,,
VPJ41151,VPJ41020+VPJ41127+VPJ41145-(VAJ41127+VAJ41145),PQ1,,
VPJ41152,VPJ41021-VPJ41128-VPJ41146+VPJ41028-VAJ41028+VPJ41035-VAJ41035+VPJ41042-VAJ41042+VPJ41049-VAJ41049+VPJ41056-VAJ41056+VPJ41063-VAJ41063,PQ1,,
VPJ41153,VPJ41022-VPJ41129-VPJ41147+VPJ41029-VAJ41029+VPJ41036-VAJ41036+VPJ41043-VAJ41043+VPJ41050-VAJ41050+VPJ41057-VAJ41057+VPJ41064-VAJ41064,PQ1,,
VPJ41154,VPJ41151+VPJ41152+VPJ41153,PQ1,,
VPJ41148,VPJ41149+VPJ41150+VPJ41151+VPJ41152+VPJ41153,PQ1,,
VPJ41159,VPJ41149-VPJ41156,PQ1,,
VPJ41160,VPJ41150-VPJ41157,PQ1,,
VPJ41161,VPJ41154,PQ1,,
VPJ41158,VPJ41159+VPJ41160+VPJ41161,PQ1,,
VPJ41071,VPJ41071,PQ1,,
VPJ41072,VPJ41072,PQ1,,
VPJ41073,VPJ41073,PQ1,,
VPJ41162,VPJ41071+VPJ41072+VPJ41073,PQ1,,
VPJ41074,VPJ41074,PQ1,,
VPJ41075,VPJ41075,PQ1,,
VPJ41076,VPJ41076,PQ1,,
VPJ41163,VPJ41074+VPJ41075+VPJ41076,PQ1,,
VPJ41077,VPJ41077,PQ1,,
VPJ41078,VPJ41078,PQ1,,
VPJ41079,VPJ41079,PQ1,,
VPJ41168,VPJ41077+VPJ41078+VPJ41079,PQ1,,
VPJ41080,VPJ41080,PQ1,,
VPJ41081,VPJ41081,PQ1,,
VPJ41082,VPJ41082,PQ1,,
VPJ41169,VPJ41080+VPJ41081+VPJ41082,PQ1,,
VPJ41083,VPJ41083,PQ1,,
VPJ41084,VPJ41084,PQ1,,
VPJ41085,VPJ41085,PQ1,,
VPJ41170,VPJ41083+VPJ41084+VPJ41085,PQ1,,
VPJ41192,VPJ41192,PQ1,,
VPJ41193,VPJ41193,PQ1,,
VPJ41194,VPJ41194,PQ1,,
VPJ41171,VPJ41192+VPJ41193+VPJ41194,PQ1,,
VPJ41172,VPJ41071+VPJ41074+VPJ41077+VPJ41080+VPJ41083+VPJ41192,PQ1,,
VPJ41173,VPJ41072+VPJ41075+VPJ41078+VPJ41081+VPJ41084+VPJ41193,PQ1,,
VPJ41174,VPJ41073+VPJ41076+VPJ41179+VPJ41082+VPJ41085+VPJ41194,PQ1,,
VPJ41177,VPJ41159-VPJ41162,PQ1,,
VPJ41178,VPJ41160-VPJ41163,PQ1,,
VPJ41179,VPJ41151-VPJ41168,PQ1,,
VPJ41180,VPJ41152-VPJ41169,PQ1,,
VPJ41181,VPJ41153-VPJ41170,PQ1,,
VPJ41182,VPJ41179+VPJ41180+VPJ41181,PQ1,,
VPJ41176,VPJ41177+VPJ41178+VPJ41179+VPJ41180+VPJ41181,PQ1,,
VPJ41175,"IF(VPJ41177<0,VPJ41177,0)+IF(VPJ41178<0,VPJ41178,0)+IF(VPJ41179<0,VPJ41179,0)+IF(VPJ41180<0,VPJ41180,0)+IF(VPJ41181<0,VPJ41181,0)",PQ1,,
VPJ41187,"IF(VPJ41177>=0,VPJ41177,0)+IF(VPJ41178>=0,VPJ41178,0)+IF(VPJ41179>=0,VPJ41179,0)+IF(VPJ41180>=0,VPJ41180,0)+IF(VPJ41181>=0,VPJ41181,0)",PQ1,,
YZSI4310,YZSI4310,PQ2,,
VPJ41188,YZSI4310(PQ1)+YZSI4310(PQ2)+YZSI4310(PQ3)+YZSI4310(PQ4),PQ2,,
VPJ41086,VPJ41188,PQ2,,
VTJ41003,"VTJ41003' +IF(VPJ41086 <= -5000, 'A' , if(VPJ41086 > -5000 && VPJ41086 <= 0, 'B', if (VPJ41086 > 0 && VPJ41086 <= 5000, 'C', If (VPJ41086 > 5000 && VPJ41086 <= 10000, 'D', if (VPJ41086 > 10000 && VPJ41086 <= 15000, 'E', if(VPJ41086 > 15000 && VPJ41086 <= 20000, 'F', if(VPJ41086 > 20000 && VPJ41086 <= 25000, 'G', if(VPJ41086 > 25000 && VPJ41086 <= 30000, 'H', if(VPJ41086 > 30000 && VPJ41086 <= 35000, 'I', if (VPJ41086 > 35000 && VPJ41086 <= 40000, 'J', if (VPJ41086 > 40000 && VPJ41086 <= 50000, 'K', 'Z')))))))))))",PQ2,,
VTJ41004,"VTJ41004' +IF(VPJ41086 <= -5000, 'A' , if(VPJ41086 > -5000 && VPJ41086 <= 0, 'B', if (VPJ41086 > 0 && VPJ41086 <= 5000, 'C', If (VPJ41086 > 5000 && VPJ41086 <= 10000, 'D', if (VPJ41086 > 10000 && VPJ41086 <= 15000, 'E', if(VPJ41086 > 15000 && VPJ41086 <= 20000, 'F', if(VPJ41086 > 20000 && VPJ41086 <= 25000, 'G', if(VPJ41086 > 25000 && VPJ41086 <= 30000, 'H', if(VPJ41086 > 30000 && VPJ41086 <= 35000, 'I', if (VPJ41086 > 35000 && VPJ41086 <= 40000, 'J', if (VPJ41086 > 40000 && VPJ41086 <= 50000, 'K', 'Z')))))))))))",PQ2,,
VTJ41005,"VTJ41005' +IF(VPJ41086 <= -5000, 'A' , if(VPJ41086 > -5000 && VPJ41086 <= 0, 'B', if (VPJ41086 > 0 && VPJ41086 <= 5000, 'C', If (VPJ41086 > 5000 && VPJ41086 <= 10000, 'D', if (VPJ41086 > 10000 && VPJ41086 <= 15000, 'E', if(VPJ41086 > 15000 && VPJ41086 <= 20000, 'F', if(VPJ41086 > 20000 && VPJ41086 <= 25000, 'G', if(VPJ41086 > 25000 && VPJ41086 <= 30000, 'H', if(VPJ41086 > 30000 && VPJ41086 <= 35000, 'I', if (VPJ41086 > 35000 && VPJ41086 <= 40000, 'J', if (VPJ41086 > 40000 && VPJ41086 <= 50000, 'K', 'Z')))))))))))",PQ2,,
